class                         precision     recall   f1-score    support
YESTERDAY                        0.3333     0.5000     0.4000          2
AGAIN                            0.6667     1.0000     0.8000          2
BAD                              1.0000     1.0000     1.0000          2
BALL                             1.0000     1.0000     1.0000          2
BATHROOM                         0.2500     0.5000     0.3333          2
BLANKET                          0.0000     0.0000     0.0000          2
BUY                              0.5000     0.5000     0.5000          2
CALL                             1.0000     1.0000     1.0000          2
COFFEE                           0.0000     0.0000     0.0000          2
COLD                             0.6667     1.0000     0.8000          2
COLLEGE                          0.3333     0.5000     0.4000          2
COPY                             1.0000     0.5000     0.6667          2
CUTE                             0.5000     0.5000     0.5000          2
DAUGHTER                         0.2500     0.5000     0.3333          2
FAR                              1.0000     0.6667     0.8000          3
FIRST                            1.0000     0.5000     0.6667          2
FRIEND                           0.3333     0.5000     0.4000          2
GOOD                             1.0000     0.5000     0.6667          2
HAPPY                            1.0000     0.5000     0.6667          2
HOME                             1.0000     1.0000     1.0000          2
KNOW                             0.5000     1.0000     0.6667          2
LATE                             0.5000     0.5000     0.5000          2
LEAVE                            0.0000     0.0000     0.0000          2
LIST                             1.0000     0.5000     0.6667          2
LOSE                             0.3333     0.5000     0.4000          2
NAME                             0.0000     0.0000     0.0000          2
OLD                              0.5000     0.5000     0.5000          2
PERSON                           1.0000     0.5000     0.6667          2
POLICE                           0.6667     1.0000     0.8000          2
PROBLEM                          0.6667     1.0000     0.8000          2
REMEMBER                         1.0000     0.5000     0.6667          2
SHARE                            0.4000     1.0000     0.5714          2
SOON                             0.5000     0.6667     0.5714          3
STAY                             0.0000     0.0000     0.0000          2
SUNDAY                           0.6667     1.0000     0.8000          2
TEST                             0.6667     1.0000     0.8000          2
TIRED                            0.6667     1.0000     0.8000          2
TRADE                            0.0000     0.0000     0.0000          2
TRAVEL                           0.3333     0.5000     0.4000          2
WINDOW                           1.0000     0.5000     0.6667          2
YOU                              0.3333     0.5000     0.4000          2
ABOUT                            1.0000     0.5000     0.6667          2
APPROVE                          0.0000     0.0000     0.0000          2
ARRIVE                           0.2500     0.5000     0.3333          2
BALANCE                          0.0000     0.0000     0.0000          2
BANANA                           0.3333     1.0000     0.5000          2
BEARD                            1.0000     1.0000     1.0000          2
BECAUSE                          0.0000     0.0000     0.0000          2
BOY                              1.0000     1.0000     1.0000          2
BUSINESS                         0.6667     1.0000     0.8000          2
CAREFUL                          0.5000     0.5000     0.5000          2
