class                         precision     recall   f1-score    support
SHOW                             0.6667     1.0000     0.8000          2
SICK                             1.0000     0.5000     0.6667          2
SNOW                             1.0000     1.0000     1.0000          2
TAKE                             0.5000     0.3333     0.4000          3
TEA                              1.0000     1.0000     1.0000          2
TEACHER                          1.0000     1.0000     1.0000          2
WEEK                             1.0000     1.0000     1.0000          2
WHY                              0.5000     0.5000     0.5000          2
WITH                             1.0000     1.0000     1.0000          2
WRITE                            0.6667     1.0000     0.8000          2
YESTERDAY                        0.5000     0.5000     0.5000          2
AGAIN                            0.5000     0.5000     0.5000          2
BAD                              1.0000     0.5000     0.6667          2
BALL                             1.0000     1.0000     1.0000          2
BATHROOM                         0.2857     1.0000     0.4444          2
BLANKET                          0.0000     0.0000     0.0000          2
BUY                              1.0000     0.5000     0.6667          2
CALL                             1.0000     0.5000     0.6667          2
COFFEE                           1.0000     1.0000     1.0000          2
COLD                             0.6667     1.0000     0.8000          2
COLLEGE                          0.3333     0.5000     0.4000          2
COPY                             1.0000     0.5000     0.6667          2
CUTE                             0.0000     0.0000     0.0000          2
DAUGHTER                         0.4000     1.0000     0.5714          2
FAR                              0.0000     0.0000     0.0000          3
FIRST                            0.0000     0.0000     0.0000          2
FRIEND                           0.0000     0.0000     0.0000          2
GOOD                             0.5000     1.0000     0.6667          2
HAPPY                            1.0000     0.5000     0.6667          2
HOME                             0.6667     1.0000     0.8000          2
KNOW                             0.5000     1.0000     0.6667          2
LATE                             0.6667     1.0000     0.8000          2
LEAVE                            0.0000     0.0000     0.0000          2
LIST                             1.0000     0.5000     0.6667          2
LOSE                             1.0000     0.5000     0.6667          2
NAME                             0.5000     0.5000     0.5000          2
OLD                              0.5000     0.5000     0.5000          2
PERSON                           0.5000     0.5000     0.5000          2
POLICE                           1.0000     1.0000     1.0000          2
PROBLEM                          1.0000     1.0000     1.0000          2
REMEMBER                         0.6667     1.0000     0.8000          2
SHARE                            0.5000     1.0000     0.6667          2
SOON                             0.2857     0.6667     0.4000          3
STAY                             0.2500     0.5000     0.3333          2
SUNDAY                           0.6667     1.0000     0.8000          2
TEST                             1.0000     1.0000     1.0000          2
TIRED                            1.0000     0.5000     0.6667          2
TRADE                            0.0000     0.0000     0.0000          2
TRAVEL                           0.6667     1.0000     0.8000          2
WINDOW                           1.0000     1.0000     1.0000          2
YOU                              0.2000     0.5000     0.2857          2
ABOUT                            0.3333     1.0000     0.5000          2
APPROVE                          0.0000     0.0000     0.0000          2
ARRIVE                           1.0000     0.5000     0.6667          2
BALANCE                          0.3333     0.5000     0.4000          2
BANANA                           0.3333     1.0000     0.5000          2
BEARD                            1.0000     1.0000     1.0000          2
BECAUSE                          0.5000     0.5000     0.5000          2
BOY                              1.0000     1.0000     1.0000          2
BUSINESS                         0.6667     1.0000     0.8000          2
CAREFUL                          0.6667     1.0000     0.8000          2
CENTER                           0.2000     0.5000     0.2857          2
CHAT                             0.4000     1.0000     0.5714          2
CHILDREN                         1.0000     0.5000     0.6667          2
CHRISTMAS                        0.5000     0.5000     0.5000          2
CLOCK                            1.0000     0.5000     0.6667          2
CLOSE                            1.0000     0.5000     0.6667          2
CONVINCE                         1.0000     0.5000     0.6667          2
COUNTRY                          1.0000     1.0000     1.0000          2
CRASH                            0.5000     0.5000     0.5000          2
DAY                              0.6667     1.0000     0.8000          2
DISCUSS                          1.0000     1.0000     1.0000          2
DRESS                            1.0000     0.5000     0.6667          2
DRIVE                            1.0000     0.5000     0.6667          2
DROP                             1.0000     1.0000     1.0000          2
EXAMPLE                          1.0000     0.5000     0.6667          2
FAT                              0.0000     0.0000     0.0000          2
FEEL                             1.0000     1.0000     1.0000          2
FOOTBALL                         0.5000     1.0000     0.6667          2
FUTURE                           0.5000     0.5000     0.5000          2
GAME                             1.0000     0.5000     0.6667          2
GIRL                             0.6667     1.0000     0.8000          2
GOVERNMENT                       0.6667     1.0000     0.8000          2
HEAR                             0.5000     0.5000     0.5000          2
HERE                             0.0000     0.0000     0.0000          2
HOPE                             0.5000     1.0000     0.6667          2
HOUSE                            1.0000     0.5000     0.6667          2
HUSBAND                          1.0000     0.5000     0.6667          2
INTEREST                         0.0000     0.0000     0.0000          2
JOIN                             0.5000     0.5000     0.5000          2
LIGHT                            0.2500     0.5000     0.3333          2
LIVE                             1.0000     0.5000     0.6667          2
MAKE                             1.0000     0.5000     0.6667          2
MEAN                             0.0000     0.0000     0.0000          2
MORE                             1.0000     0.5000     0.6667          2
MOST                             1.0000     1.0000     1.0000          2
MUSIC                            0.0000     0.0000     0.0000          2
NEW                              0.6667     1.0000     0.8000          2
NONE                             1.0000     1.0000     1.0000          2
OFFICE                           1.0000     1.0000     1.0000          2
ORDER                            0.3333     0.5000     0.4000          2
PANTS                            0.3333     0.5000     0.4000          2
PARTY                            0.0000     0.0000     0.0000          2
PAST                             0.3333     0.5000     0.4000          2
PENCIL                           0.5000     1.0000     0.6667          2
PLAN                             0.0000     0.0000     0.0000          2
PLEASE                           0.0000     0.0000     0.0000          2
PRACTICE                         0.6667     1.0000     0.8000          2
PRESIDENT                        1.0000     1.0000     1.0000          2
RESTAURANT                       0.5000     0.5000     0.5000          2
RIDE                             0.6667     1.0000     0.8000          2
RUSSIA                           1.0000     0.5000     0.6667          2
SALT                             0.5000     1.0000     0.6667          2
SANDWICH                         0.5000     1.0000     0.6667          2
SIGN                             0.0000     0.0000     0.0000          2
SINCE                            1.0000     1.0000     1.0000          2
SMALL                            0.0000     0.0000     0.0000          2
SOME                             0.0000     0.0000     0.0000          2
SOUTH                            1.0000     0.5000     0.6667          2
STUDENT                          1.0000     1.0000     1.0000          2
TEACH                            1.0000     1.0000     1.0000          2
THEORY                           1.0000     1.0000     1.0000          2
TOMATO                           0.6667     1.0000     0.8000          2
TRAIN                            0.0000     0.0000     0.0000          2
UGLY                             0.0000     0.0000     0.0000          2
WAR                              0.0000     0.0000     0.0000          2
WHERE                            0.5000     0.5000     0.5000          2
YOUR                             0.4000     1.0000     0.5714          2
ALWAYS                           1.0000     1.0000     1.0000          2
ANIMAL                           0.6667     1.0000     0.8000          2
ARGUE                            1.0000     0.5000     0.6667          2
BABY                             0.0000     0.0000     0.0000          2
BACK                             0.5000     0.5000     0.5000          2
BAKE                             1.0000     1.0000     1.0000          2
BATH                             0.5000     1.0000     0.6667          2
BEHIND                           0.2500     0.5000     0.3333          2
BRING                            0.0000     0.0000     0.0000          2
CATCH                            0.6667     1.0000     0.8000          2
CEREAL                           0.0000     0.0000     0.0000          2
CHAMPION                         0.3333     0.5000     0.4000          2
CHEESE                           1.0000     0.5000     0.6667          2
COUGH                            0.4000     1.0000     0.5714          2
CRAZY                            0.0000     0.0000     0.0000          2
DELAY                            0.0000     0.0000     0.0000          2
DELICIOUS                        0.3333     0.5000     0.4000          2
DISAPPEAR                        0.3333     0.5000     0.4000          2
DIVORCE                          1.0000     0.5000     0.6667          2
DRAW                             0.0000     0.0000     0.0000          2
EAST                             1.0000     0.5000     0.6667          2
EASY                             1.0000     1.0000     1.0000          2
EGG                              0.5000     0.5000     0.5000          2
ENVIRONMENT                      0.0000     0.0000     0.0000          2
FATHER                           0.5000     1.0000     0.6667          2
FAULT                            1.0000     1.0000     1.0000          2
FLOWER                           1.0000     1.0000     1.0000          2
FRIENDLY                         1.0000     0.5000     0.6667          2
GLASSES                          0.6667     1.0000     0.8000          2
HALLOWEEN                        1.0000     0.5000     0.6667          2
HARD                             1.0000     0.5000     0.6667          2
HEART                            0.5000     0.5000     0.5000          2
HOUR                             0.6667     1.0000     0.8000          2
HUMBLE                           1.0000     1.0000     1.0000          2
HURRY                            1.0000     1.0000     1.0000          2
IMPROVE                          1.0000     0.5000     0.6667          2
INTERNET                         1.0000     1.0000     1.0000          2
JUMP                             0.5000     0.5000     0.5000          2
KILL                             0.0000     0.0000     0.0000          2
LAW                              1.0000     0.5000     0.6667          2
MATCH                            1.0000     0.5000     0.6667          2
MEAT                             1.0000     1.0000     1.0000          2
MILK                             1.0000     0.5000     0.6667          2
MONEY                            1.0000     0.5000     0.6667          2

accuracy                                               0.6302        668
macro avg                        0.6486     0.6342     0.6075        668
weighted avg                     0.6522     0.6302     0.6071        668
