class                         precision     recall   f1-score    support
SECRETARY                        1.0000     0.3333     0.5000          3
SHORT                            0.5000     0.5000     0.5000          2
TIME                             0.6667     1.0000     0.8000          2
WANT                             0.2000     0.5000     0.2857          2
WORK                             0.5000     0.5000     0.5000          2
AFRICA                           1.0000     0.3333     0.5000          3
BASKETBALL                       1.0000     0.5000     0.6667          2
BIRTHDAY                         0.0000     0.0000     0.0000          3
BROWN                            1.0000     0.5000     0.6667          2
BUT                              1.0000     0.3333     0.5000          3
CHEAT                            1.0000     0.5000     0.6667          2
CITY                             0.4000     1.0000     0.5714          2
COOK                             0.0000     0.0000     0.0000          2
DECIDE                           1.0000     0.5000     0.6667          2
FULL                             1.0000     0.5000     0.6667          2
HOW                              0.7500     1.0000     0.8571          3
JACKET                           0.0000     0.0000     0.0000          2
LETTER                           0.2500     0.3333     0.2857          3
MEDICINE                         0.5000     0.5000     0.5000          2
NEED                             1.0000     0.5000     0.6667          2
PAINT                            1.0000     0.5000     0.6667          2
PAPER                            0.0000     0.0000     0.0000          2
PULL                             0.6667     1.0000     0.8000          2
PURPLE                           0.0000     0.0000     0.0000          2
RIGHT                            0.0000     0.0000     0.0000          2
SAME                             0.5000     0.6667     0.5714          3
SON                              0.0000     0.0000     0.0000          2
TELL                             1.0000     0.5000     0.6667          2
THURSDAY                         1.0000     1.0000     1.0000          2
VISIT                            1.0000     1.0000     1.0000          2
WAIT                             0.5000     0.5000     0.5000          2
WATER                            0.5000     1.0000     0.6667          2
WIFE                             0.3333     0.5000     0.4000          2
YELLOW                           0.5000     0.5000     0.5000          2
BACKPACK                         0.0000     0.0000     0.0000          3
BAR                              0.0000     0.0000     0.0000          3
BROTHER                          0.0000     0.0000     0.0000          2
CAT                              0.6667     1.0000     0.8000          2
CHECK                            0.0000     0.0000     0.0000          3
CLASS                            1.0000     1.0000     1.0000          2
CRY                              0.4000     1.0000     0.5714          2
DIFFERENT                        0.5000     1.0000     0.6667          2
DOOR                             0.6667     1.0000     0.8000          2
GREEN                            0.0000     0.0000     0.0000          2
HAIR                             1.0000     0.5000     0.6667          2
HAVE                             1.0000     0.5000     0.6667          2
HEADACHE                         0.6667     1.0000     0.8000          2
INFORM                           1.0000     0.6667     0.8000          3
KNIFE                            0.5000     0.5000     0.5000          2
LAUGH                            0.5000     0.3333     0.4000          3
LEARN                            0.4000     1.0000     0.5714          2
MOVIE                            0.0000     0.0000     0.0000          2
RABBIT                           1.0000     0.3333     0.5000          3
READ                             0.5000     1.0000     0.6667          2
RED                              1.0000     0.5000     0.6667          2
ROOM                             1.0000     0.3333     0.5000          3
RUN                              0.5000     0.5000     0.5000          2
SHOW                             1.0000     1.0000     1.0000          2
SICK                             0.5000     0.5000     0.5000          2
SNOW                             0.5000     1.0000     0.6667          2
TAKE                             0.3333     0.3333     0.3333          3
TEA                              1.0000     1.0000     1.0000          2
TEACHER                          0.6667     1.0000     0.8000          2
WEEK                             1.0000     0.5000     0.6667          2
WHY                              0.4000     1.0000     0.5714          2
WITH                             1.0000     0.5000     0.6667          2
WRITE                            0.3333     0.5000     0.4000          2
YESTERDAY                        0.0000     0.0000     0.0000          2
AGAIN                            0.0000     0.0000     0.0000          2
BAD                              0.0000     0.0000     0.0000          2
BALL                             0.6667     1.0000     0.8000          2
BATHROOM                         0.5000     0.5000     0.5000          2
BLANKET                          0.0000     0.0000     0.0000          2
BUY                              0.0000     0.0000     0.0000          2
CALL                             0.5000     0.5000     0.5000          2
COFFEE                           0.5000     0.5000     0.5000          2
COLD                             0.5000     1.0000     0.6667          2
COLLEGE                          0.0000     0.0000     0.0000          2
COPY                             1.0000     0.5000     0.6667          2
CUTE                             0.0000     0.0000     0.0000          2
DAUGHTER                         0.2500     0.5000     0.3333          2
FAR                              0.0000     0.0000     0.0000          3
FIRST                            0.5000     0.5000     0.5000          2
FRIEND                           1.0000     0.5000     0.6667          2
GOOD                             0.0000     0.0000     0.0000          2
HAPPY                            0.0000     0.0000     0.0000          2
HOME                             0.5000     0.5000     0.5000          2
KNOW                             0.0000     0.0000     0.0000          2
LATE                             1.0000     1.0000     1.0000          2
LEAVE                            0.0000     0.0000     0.0000          2
LIST                             0.0000     0.0000     0.0000          2
LOSE                             0.0000     0.0000     0.0000          2
NAME                             0.2500     0.5000     0.3333          2
OLD                              1.0000     0.5000     0.6667          2
PERSON                           0.0000     0.0000     0.0000          2
POLICE                           0.6667     1.0000     0.8000          2
PROBLEM                          1.0000     1.0000     1.0000          2
REMEMBER                         0.0000     0.0000     0.0000          2
SHARE                            0.2000     0.5000     0.2857          2
SOON                             0.4000     0.6667     0.5000          3
STAY                             0.5000     0.5000     0.5000          2
SUNDAY                           1.0000     1.0000     1.0000          2
TEST                             1.0000     1.0000     1.0000          2
TIRED                            1.0000     0.5000     0.6667          2
TRADE                            0.0000     0.0000     0.0000          2
TRAVEL                           0.6667     1.0000     0.8000          2
WINDOW                           0.5000     0.5000     0.5000          2
YOU                              0.0000     0.0000     0.0000          2
ABOUT                            0.2500     0.5000     0.3333          2
APPROVE                          0.0000     0.0000     0.0000          2
ARRIVE                           0.5000     0.5000     0.5000          2
BALANCE                          0.3333     0.5000     0.4000          2
BANANA                           0.4000     1.0000     0.5714          2
BEARD                            1.0000     1.0000     1.0000          2
BECAUSE                          1.0000     0.5000     0.6667          2
BOY                              0.6667     1.0000     0.8000          2
BUSINESS                         0.5000     1.0000     0.6667          2
CAREFUL                          1.0000     1.0000     1.0000          2
CENTER                           0.5000     0.5000     0.5000          2
CHAT                             0.5000     1.0000     0.6667          2
CHILDREN                         0.0000     0.0000     0.0000          2
CHRISTMAS                        1.0000     0.5000     0.6667          2
CLOCK                            1.0000     0.5000     0.6667          2
CLOSE                            0.0000     0.0000     0.0000          2
CONVINCE                         1.0000     0.5000     0.6667          2
COUNTRY                          0.5000     1.0000     0.6667          2
CRASH                            1.0000     0.5000     0.6667          2
DAY                              1.0000     1.0000     1.0000          2
DISCUSS                          0.6667     1.0000     0.8000          2
DRESS                            0.0000     0.0000     0.0000          2
DRIVE                            1.0000     0.5000     0.6667          2
DROP                             1.0000     1.0000     1.0000          2
EXAMPLE                          1.0000     0.5000     0.6667          2
FAT                              1.0000     0.5000     0.6667          2
FEEL                             1.0000     0.5000     0.6667          2
FOOTBALL                         0.6667     1.0000     0.8000          2
FUTURE                           1.0000     1.0000     1.0000          2
GAME                             0.3333     1.0000     0.5000          2
GIRL                             0.2500     0.5000     0.3333          2
GOVERNMENT                       0.4000     1.0000     0.5714          2
HEAR                             1.0000     0.5000     0.6667          2
HERE                             0.0000     0.0000     0.0000          2
HOPE                             1.0000     0.5000     0.6667          2
HOUSE                            0.5000     0.5000     0.5000          2
HUSBAND                          1.0000     0.5000     0.6667          2
INTEREST                         0.0000     0.0000     0.0000          2
JOIN                             1.0000     0.5000     0.6667          2
LIGHT                            1.0000     0.5000     0.6667          2
LIVE                             1.0000     0.5000     0.6667          2
MAKE                             0.6667     1.0000     0.8000          2
MEAN                             0.0000     0.0000     0.0000          2
MORE                             0.2500     0.5000     0.3333          2
MOST                             0.4000     1.0000     0.5714          2
MUSIC                            0.0000     0.0000     0.0000          2
NEW                              0.4000     1.0000     0.5714          2
NONE                             1.0000     1.0000     1.0000          2
OFFICE                           0.6667     1.0000     0.8000          2
ORDER                            0.6667     1.0000     0.8000          2
PANTS                            0.3333     0.5000     0.4000          2
PARTY                            0.0000     0.0000     0.0000          2
PAST                             0.0000     0.0000     0.0000          2
PENCIL                           0.6667     1.0000     0.8000          2
PLAN                             0.3333     0.5000     0.4000          2
PLEASE                           0.4000     1.0000     0.5714          2
PRACTICE                         0.3333     0.5000     0.4000          2
PRESIDENT                        0.5000     1.0000     0.6667          2
RESTAURANT                       0.3333     0.5000     0.4000          2
RIDE                             0.5000     0.5000     0.5000          2
RUSSIA                           0.2500     0.5000     0.3333          2
SALT                             0.0000     0.0000     0.0000          2
SANDWICH                         0.2500     0.5000     0.3333          2
SIGN                             0.5000     0.5000     0.5000          2
SINCE                            1.0000     1.0000     1.0000          2
SMALL                            0.0000     0.0000     0.0000          2
SOME                             0.0000     0.0000     0.0000          2
SOUTH                            0.0000     0.0000     0.0000          2
STUDENT                          1.0000     0.5000     0.6667          2
TEACH                            0.6667     1.0000     0.8000          2
THEORY                           0.3333     0.5000     0.4000          2
TOMATO                           0.5000     1.0000     0.6667          2
TRAIN                            0.2000     0.5000     0.2857          2
UGLY                             0.5000     0.5000     0.5000          2
WAR                              0.0000     0.0000     0.0000          2
WHERE                            0.6667     1.0000     0.8000          2
YOUR                             1.0000     1.0000     1.0000          2
ALWAYS                           1.0000     1.0000     1.0000          2
ANIMAL                           0.4000     1.0000     0.5714          2
ARGUE                            1.0000     1.0000     1.0000          2
BABY                             0.0000     0.0000     0.0000          2
BACK                             0.0000     0.0000     0.0000          2
BAKE                             1.0000     1.0000     1.0000          2
BATH                             1.0000     0.5000     0.6667          2
BEHIND                           0.3333     0.5000     0.4000          2
BRING                            0.0000     0.0000     0.0000          2
CATCH                            0.0000     0.0000     0.0000          2
CEREAL                           0.0000     0.0000     0.0000          2
CHAMPION                         0.5000     0.5000     0.5000          2
CHEESE                           0.5000     0.5000     0.5000          2
COUGH                            1.0000     1.0000     1.0000          2
CRAZY                            0.0000     0.0000     0.0000          2
DELAY                            0.3333     0.5000     0.4000          2
DELICIOUS                        0.0000     0.0000     0.0000          2
DISAPPEAR                        0.5000     0.5000     0.5000          2
DIVORCE                          1.0000     0.5000     0.6667          2
DRAW                             1.0000     0.5000     0.6667          2
EAST                             0.5000     0.5000     0.5000          2
EASY                             0.5000     1.0000     0.6667          2
EGG                              0.3333     0.5000     0.4000          2
ENVIRONMENT                      0.0000     0.0000     0.0000          2
FATHER                           0.0000     0.0000     0.0000          2
FAULT                            1.0000     0.5000     0.6667          2
FLOWER                           1.0000     1.0000     1.0000          2
FRIENDLY                         0.0000     0.0000     0.0000          2
GLASSES                          0.6667     1.0000     0.8000          2
HALLOWEEN                        0.3333     0.5000     0.4000          2
HARD                             0.5000     0.5000     0.5000          2
HEART                            1.0000     1.0000     1.0000          2
HOUR                             0.0000     0.0000     0.0000          2
HUMBLE                           0.2500     0.5000     0.3333          2
HURRY                            0.5000     1.0000     0.6667          2
IMPROVE                          0.3333     0.5000     0.4000          2
INTERNET                         1.0000     1.0000     1.0000          2
JUMP                             0.4000     1.0000     0.5714          2
KILL                             0.0000     0.0000     0.0000          2
LAW                              0.5000     1.0000     0.6667          2
MATCH                            1.0000     0.5000     0.6667          2
MEAT                             1.0000     0.5000     0.6667          2
MILK                             0.5000     0.5000     0.5000          2
MONEY                            0.6667     1.0000     0.8000          2

accuracy                                               0.5195        668
macro avg                        0.5321     0.5276     0.4954        668
weighted avg                     0.5354     0.5195     0.4931        668
